osm_id,key,value,commentary
603560947,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
603560947,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
846529453,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
846529467,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
846529470,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
846529475,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
846529481,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
1229468354,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
1395984082,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
1395984082,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
2331647911,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
2331647914,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
2385144841,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
2385144841,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
2385144844,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
2385144844,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
2651925073,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
2682647758,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
2682647759,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
2682647760,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
2682647761,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
3507819484,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
3507819513,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
3507819516,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
3746752900,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
4232919888,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
4232919888,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
4232919905,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
4232919905,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
4496710650,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
4496710651,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
4604865115,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
4604865116,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
4604865117,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
4604865118,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
4604865119,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
4604865120,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
4680160775,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
5842579987,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
5864120227,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
5908906372,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
5908906373,crossing,zebra,"It's inappropriate for Kerbs, it's for crossings"
6164092860,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6164092861,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6164092881,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6164095891,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6223620973,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
6223620974,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
6223620975,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
6223620976,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
6223620977,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6226321495,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
6226321495,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
6226321508,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
6226321508,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
6336344925,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6336344925,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
6336344931,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6336344931,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
6336344932,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
6336344932,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
6403047144,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
6403047145,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
6455927373,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
6455927373,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
6484488050,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
6484488050,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
6635844913,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
7042277861,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
7052469464,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
7052469464,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
7130275471,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
7130275473,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
8692701170,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
8822646778,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
8822646780,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
8822683953,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8822683966,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8822683971,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8822688572,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842699981,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842893496,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842893501,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842893503,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842893511,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842893513,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842893516,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904521,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904526,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904531,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904551,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904553,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904556,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904558,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8842904561,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8864131738,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8864131740,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8882941480,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8886351124,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8888420312,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8888434023,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8889062143,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8890631910,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8890631911,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
8891164694,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
9307002733,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
9307002733,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
9307002734,crossing,traffic_signals,"It's inappropriate for Kerbs, it's for crossings"
9307002734,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
9366157641,crossing,marked,"It's inappropriate for Kerbs, it's for crossings"
9414623617,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
9414623618,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
9414623619,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
9415950953,crossing,uncontrolled,"It's inappropriate for Kerbs, it's for crossings"
9415950953,crossing_ref,zebra,"It's inappropriate for Kerbs, it's for crossings"
9644798120,crossing,unmarked,"It's inappropriate for Kerbs, it's for crossings"
